vigfile,vignette,category,correct_answer,choice1,choice2,choice3
auth01,"""You see a girl ignoring her father's orders by taking the car __.""",Authority,"""after her curfew""","""after her curfew""","""without permission""","""out while grounded"""
auth02,"""You see a woman __ when the judge walks into the courtroom.""",Authority,"""refusing to stand""","""raise her middle finger""","""talking on her phone""","""refusing to stand"""
auth03,"""You see a girl repeatedly interrupting her __ as he explains a new concept.""",Authority,"""teacher""","""teacher""","""tutor""","""professor"""
auth04,"""You see an intern disobeying an order to dress professionally and __.""",Authority,"""comb his hair""","""shave""","""comb his hair""","""get a haircut"""
auth05,"""You see a teenage girl coming home late and ignoring her parents' __.""",Authority,"""strict curfew""","""text messages""","""questions""","""strict curfew"""
auth06,"""You see a boy spray-painting __ symbols on the side of the police station.""",Authority,"""anarchy""","""anarchy""","""dirty""","""gang"""
auth07,"""You see an employee trying to undermine her boss's __.""",Authority,"""ideas""","""credibility""","""financial strategy""","""ideas"""
auth08,"""You see a player publicly yelling at his soccer coach during __ game.""",Authority,"""a play-off""","""a tournament""","""an all-star""","""a play-off"""
auth09,"""You see a boy turning up the __ as his father talks about his military service.""",Authority,"""TV""","""TV""","""radio""","""volume"""
auth10,"""You see a teaching assistant talking back to the teacher in front of the __.""",Authority,"""classroom""","""kindergarten class""","""classroom""","""students"""
auth11,"""You see a staff member talking loudly and interrupting the __ speech to the public.""",Authority,"""mayor's""","""CEO's""","""mayor's""","""candidate's"""
auth12,"""You see a group of women having a long and loud conversation __.""",Authority,"""during a church sermon""","""during a meditation class""","""with a funeral nearby""","""during a church sermon"""
auth13,"""You see a man turn his back and walk away while his boss questions his __.""",Authority,"""work""","""attitude""","""ideas""","""work"""
auth14,"""You see a student stating that her professor is __ during an afternoon class.""",Authority,"""a fool""","""an idiot""","""a moron""","""a fool"""
auth15,"""You see a star player ignoring her coach's order to come to the bench during __.""",Authority,"""a game""","""practice""","""a game""","""a time out"""
careemo01,"""You see a teenage boy chuckling at an amputee he passes by while on the __.""",Care-Emo,"""subway""","""sidewalk""","""subway""","""train"""
careemo02,"""You see a girl laughing at another student forgetting her lines __ .""",Care-Emo,"""at a school play""","""at a poetry recital""","""in front of everyone""","""at a school play"""
careemo03,"""You see a woman commenting out loud about how fat another woman looks in her __ .""",Care-Emo,"""jeans""","""swimsuit""","""skirt""","""jeans"""
careemo04,"""You see a man quickly canceling a blind date as soon as he __ .""",Care-Emo,"""sees the woman""","""sees the woman""","""learns she's overweight""","""sees her profile picture"""
careemo05,"""You see a boy telling a woman that she looks just like her overweight __ .""",Care-Emo,"""bulldog""","""beagle""","""pug""","""bulldog"""
careemo06,"""You see a girl laughing when she realizes her friend's dad is the __ .""",Care-Emo,"""janitor""","""janitor""","""schoolbus driver""","""school nurse"""
careemo07,"""You see a girl saying that another girl is too ugly to __.""",Care-Emo,"""be a varsity cheerleader""","""be her bridesmaid""","""find a prom date""","""be a varsity cheerleader"""
careemo08,"""You see a teenage girl openly staring at a __ as she walks past.""",Care-Emo,"""disfigured woman""","""burn victim""","""very large person""","""disfigured woman"""
careemo09,"""You see a boy making fun of his brother for getting __ his girlfriend.""",Care-Emo,"""dumped by""","""dumped by""","""in trouble with""","""yelled at by"""
careemo10,"""You see a man loudly telling his wife that the __ tastes awful.""",Care-Emo,"""dinner she cooked""","""dinner she cooked""","""breakfast she prepared""","""cake she baked"""
careemo11,"""You see a man telling a woman that her painting looks like it __.""",Care-Emo,"""was done by children""","""was done by children""","""belongs in the closet""","""is beginner's work"""
careemo12,"""You see a woman clearly avoiding sitting next to an obese woman __.""",Care-Emo,"""on the bus""","""in the lobby""","""in a theater""","""on the bus"""
careemo13,"""You see a girl telling a boy that his __ is much more attractive than him.""",Care-Emo,"""older brother""","""best friend""","""older brother""","""cousin"""
careemo14,"""You see a girl telling her __ that she looks like she has gained weight.""",Care-Emo,"""classmate""","""mother""","""sister""","""classmate"""
careemo15,"""You see a man laughing at a disabled co-worker while at an office __.""",Care-Emo,"""softball game""","""softball game""","""beach retreat""","""charity run"""
carephys01,"""You see a man lashing his __ with a whip for breaking loose from its pen.""",Care-Phys,"""pony""","""pony""","""goat""","""donkey"""
carephys02,"""You see a teacher hitting a student's hand with a ruler for __ in class.""",Care-Phys,"""falling asleep""","""daydreaming""","""falling asleep""","""passing notes"""
carephys03,"""You see a woman slapping another woman who she is arguing with in the __.""",Care-Phys,"""parking lot""","""hotel lobby""","""grocery store""","""parking lot"""
carephys04,"""You see a wife hitting her husband on the side of his head for __.""",Care-Phys,"""coming home late""","""not doing the dishes""","""not paying attention""","""coming home late"""
carephys05,"""You see a girl shooting geese repeatedly with a pellet gun out __.""",Care-Phys,"""in the woods""","""at the pond""","""in her backyard""","""in the woods"""
